"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 06 23:12:25 CEST 2020","Wed May 06 23:12:40 CEST 2020","15251","","movieList.movies list managment","","movieList.movies list managment","","Check movie details -- @1.2 ",""
"passed","Wed May 06 23:12:25 CEST 2020","Wed May 06 23:12:38 CEST 2020","13134","","movieList.movies list managment","","movieList.movies list managment","","Check movie details -- @1.1 ",""
